,Regular,Method1,Method2
100,100,99,100
1090,100,100,100
2080,100,99,100
3070,100,100,100
4060,100,101,100
5050,100,98,100
6040,100,96,100
7030,100,97,100
8020,100,99,99
9010,100,101,100
