,Regular,Method1,Method2
1000,6,0,1
50950,7504,1,30
100900,34606,0,30
150850,65628,0,46
200800,126239,0,62
250750,216068,0,77
300700,335990,0,91
350650,486943,1,107
400600,661418,1,123
450550,856077,0,138
500500,1095869,0,153
550450,1350538,0,172
600400,1651487,0,182
650350,1964686,0,200
700300,2315063,0,212
750250,2684185,1,227
800200,3092562,0,247
850150,3540277,1,259
900100,4001909,0,272
950050,4472238,0,292
